BJD - 2454833, Corrected Flux
2150.845684347, 0.980728681,
2150.866116361, 0.980200692,
2150.886548474, 0.983080584,
2150.906980687, 0.982822317,
2150.927412699, 0.984030336,
2150.947844810, 0.982725800,
2150.968277022, 0.984179857,
2150.988709032, 0.983360413,
2151.009141142, 0.984628585,
2151.029573252, 0.979933995,
2151.050005361, 0.982193581,
2151.070437470, 0.983058587,
2151.090869678, 0.981875008,
2151.111301685, 0.983599420,
2151.131733792, 0.983075710,
2151.152165999, 0.983437512,
2151.172598005, 0.984752352,
2151.193030111, 0.982417456,
2151.213462316, 0.981452560,
2151.233894321, 0.982367077,
2151.254326525, 0.983804210,
2151.274758628, 0.983517000,
2151.295190632, 0.981207320,
2151.315622834, 0.983556539,
2151.336054936, 0.982806625,
2151.356486938, 0.985699406,
2151.376919139, 1.006007071,
2151.397351240, 0.985448167,
2151.417783240, 0.984610009,
2151.438215440, 0.984884214,
2151.458647539, 0.982387883,
2151.479079538, 0.983555633,
2151.499511736, 0.984930469,
2151.519943834, 0.982081354,
2151.540375931, 0.982820698,
2151.581240124, 0.983911440,
2151.601672220, 0.984034453,
2151.622104415, 0.985378313,
2151.642536410, 0.982757038,
2151.662968504, 0.985261550,
2151.683400698, 0.986422283,
2151.703832691, 0.984432138,
2151.724264784, 0.984097873,
2151.744696976, 0.984217830,
2151.785561059, 0.984483443,
2151.805993250, 0.986650786,
2151.826425241, 0.985413577,
2151.846857330, 0.985978543,
2151.867289420, 0.989262404,
2151.908153697, 0.985334143,
2151.928585685, 0.984758531,
2151.949017773, 0.988675447,
2151.969449959, 0.984205022,
2151.989882046, 0.985295128,
2152.010314032, 0.985382848,
2152.030746217, 0.983718089,
2152.051178302, 0.984773200,
2152.071610287, 0.987836447,
2152.092042471, 0.985195335,
2152.112474554, 0.984777213,
2152.132906537, 0.985310809,
2152.153338720, 0.986670060,
2152.173770802, 0.986785105,
2152.194202783, 0.985608839,
2152.214634965, 0.985366043,
2152.235067045, 0.987093242,
2152.255499025, 0.987810869,
2152.275931205, 0.984834838,
2152.296363284, 0.984689296,
2152.316795263, 0.985916322,
2152.337227441, 0.986233897,
2152.357659519, 0.986457460,
2152.378091595, 0.985859205,
2152.398523672, 0.987063240,
2152.418955749, 0.987009231,
2152.439387824, 0.985846060,
2152.459819999, 0.988906724,
2152.480251974, 0.989204929,
2152.500684148, 0.987232539,
2152.521116222, 0.985488790,
2152.541548196, 0.986073999,
2152.561980369, 0.987348822,
2152.582412441, 0.989437027,
2152.602844412, 0.984130750,
2152.623276584, 0.986922447,
2152.643708555, 0.986424764,
2152.664140625, 0.986041567,
2152.684572795, 0.986886262,
2152.705004764, 0.986830754,
2152.725436833, 0.988818846,
2152.745869002, 0.987039207,
2152.766300970, 0.986840848,
2152.786733038, 0.987076168,
2152.807165205, 0.988168280,
2152.827597271, 0.989120809,
2152.848029237, 0.987820034,
2152.868461403, 0.987659823,
2152.888893468, 0.990121220,
2152.909325433, 0.987599613,
2152.929757597, 0.988995427,
2152.950189660, 0.989493079,
2152.970621623, 0.987963407,
2152.991053786, 0.987072583,
2153.011485848, 0.986477125,
2153.031917810, 0.987552721,
2153.052349971, 0.986434531,
2153.072782032, 0.989484207,
2153.093214193, 0.988137683,
2153.113646152, 0.988976476,
2153.134078211, 0.987430091,
2153.154510370, 0.988825463,
2153.174942329, 0.988955500,
2153.195374387, 0.987478038,
2153.215806544, 0.988944753,
2153.236238501, 0.987812199,
2153.256670558, 0.988779225,
2153.277102614, 0.988123979,
2153.317966724, 0.988491338,
2153.338398778, 0.989595005,
2153.379262886, 0.988827903,
2153.399695040, 0.990554215,
2153.420126992, 0.988712029,
2153.440559044, 0.987269352,
2153.460991196, 0.987334636,
2153.481423147, 0.988593185,
2153.501855198, 0.986673956,
2153.522287348, 0.987021443,
2153.563151347, 0.987420034,
2153.583583496, 0.987920168,
2153.604015445, 0.988338998,
2153.624447493, 0.986191260,
2153.644879640, 0.989693666,
2153.665311687, 0.988327233,
2153.685743733, 0.989233053,
2153.706175779, 0.985768833,
2153.726607825, 0.988989866,
2153.747039870, 0.986552023,
2153.787903958, 0.989374607,
2153.808336102, 0.988122316,
2153.828768045, 0.988743977,
2153.890064172, 0.985163865,
2153.910496213, 0.990833248,
2153.930928354, 0.988753628,
2153.951360294, 0.987915442,
2153.971792334, 0.989388395,
2153.992224473, 0.997357005,
2154.012656412, 0.988485767,
2154.033088451, 0.988836860,
2154.053520489, 0.988057707,
2154.073952526, 0.988890648,
2154.094384563, 0.989277774,
2154.114816600, 0.990493149,
2154.135248636, 0.990915924,
2154.155680671, 0.988109917,
2154.176112707, 0.988979916,
2154.196544741, 0.989733069,
2154.216976775, 0.992445415,
2154.237408909, 0.988700119,
2154.257840842, 0.988336300,
2154.278272975, 0.989544999,
2154.298705007, 0.990694159,
2154.319136939, 0.989321889,
2154.339569071, 0.988173518,
2154.360001102, 0.990666156,
2154.380433032, 0.989606335,
2154.400865162, 0.989649647,
2154.421297192, 0.989812729,
2154.441729120, 0.989096540,
2154.462161249, 0.989517415,
2154.482593277, 0.990172136,
2154.503025305, 0.987687113,
2154.523457332, 0.991550743,
2154.543889359, 0.990274285,
2154.564321385, 0.988614456,
2154.584753411, 0.988715930,
2154.605185436, 0.987877693,
2154.625617461, 0.993902659,
2154.646049585, 0.989814038,
2154.666481509, 0.990791050,
2154.686913532, 0.989440292,
2154.707345656, 0.988691523,
2154.727777578, 0.991694262,
2154.748209600, 0.988379061,
2154.789073643, 0.990033089,
2154.809505763, 0.989005282,
2154.829937683, 0.989831148,
2154.850369703, 0.989587027,
2154.870801823, 0.988944645,
2154.891233741, 0.992772059,
2154.911665759, 0.990932218,
2154.932097877, 0.987430417,
2154.952529795, 0.990133591,
2154.972961812, 0.989299562,
2154.993393928, 0.988990613,
2155.013825844, 0.991906464,
2155.034257860, 0.989826153,
2155.054689975, 0.990827704,
2155.075121990, 0.986686945,
2155.095553904, 0.989592237,
2155.115986017, 0.989275182,
2155.136418031, 0.987956327,
2155.156849943, 0.989843833,
2155.177282056, 0.988658597,
2155.197714067, 0.986556208,
2155.218145979, 0.989303823,
2155.238578090, 0.989504492,
2155.259010100, 0.988759500,
2155.279442010, 0.989644656,
2155.299874120, 0.988192725,
2155.320306129, 0.991257100,
2155.340738138, 0.989594989,
2155.361170145, 0.990496170,
2155.381602153, 0.990982161,
2155.402034261, 0.990150705,
2155.422466167, 0.989671377,
2155.463330280, 0.989593646,
2155.483762185, 0.990876992,
2155.504194190, 0.988479912,
2155.524626194, 0.989910507,
2155.565490202, 0.989948788,
2155.585922305, 0.987814102,
2155.606354208, 0.991186933,
2155.626786210, 0.991456470,
2155.647218312, 0.991134081,
2155.667650213, 0.991221707,
2155.688082214, 0.991156118,
2155.708514314, 0.989718736,
2155.728946214, 0.991413092,
2155.749378214, 0.989659540,
2155.769810313, 0.991160407,
2155.790242211, 0.990022816,
2155.851538204, 0.990865226,
2155.871970201, 0.989371722,
2155.892402297, 0.990900593,
2155.912834293, 0.991686873,
2155.933266188, 0.989809148,
2155.953698283, 0.989677203,
2155.974130278, 0.994566213,
2155.994562272, 0.990044206,
2156.014994265, 0.991358734,
2156.035426259, 0.990566807,
2156.055858351, 0.991356454,
2156.076290243, 0.990207349,
2156.096722235, 0.995467959,
2156.117154326, 0.990479606,
2156.137586217, 0.995028250,
2156.158018208, 0.993321867,
2156.198882187, 0.993705397,
2156.219314176, 0.992999931,
2156.239746264, 0.996827531,
2156.260178153, 0.992743278,
2156.280610140, 0.992348939,
2156.301042128, 0.992167343,
2156.321474114, 0.995092182,
2156.403202057, 0.992328397,
2156.423634141, 0.994443972,
2156.444066025, 0.993268488,
2156.464498009, 0.995030375,
2156.484930092, 0.993537500,
2156.505361975, 0.995683590,
2156.525793957, 0.992817914,
2156.546226039, 0.991271673,
2156.566657920, 0.993578919,
2156.587090002, 0.994812701,
2156.607521982, 0.993323829,
2156.627953862, 0.995363218,
2156.648385941, 0.993319122,
2156.668817920, 0.995632794,
2156.709681878, 0.991517895,
2156.730113855, 0.993305310,
2156.750545832, 0.993320519,
2156.791409786, 0.995263916,
2156.811841762, 0.994017752,
2156.832273737, 0.993957675,
2156.852705713, 0.995232166,
2156.873137687, 0.994379233,
2156.893569761, 0.996020768,
2156.914001635, 0.994593070,
2156.934433608, 0.993481266,
2156.954865681, 0.989889806,
2156.975297554, 0.995620351,
2156.995729526, 0.994064834,
2157.016161497, 0.995798624,
2157.036593469, 0.993275839,
2157.057025439, 0.991698872,
2157.077457409, 0.993723360,
2157.097889379, 0.994791440,
2157.118321348, 0.993130952,
2157.138753317, 0.993234886,
2157.159185286, 0.993034051,
2157.200049221, 0.991565509,
2157.220481189, 0.995361142,
2157.240913255, 0.994995597,
2157.261345221, 0.993717042,
2157.302209153, 0.993009603,
2157.322641117, 0.994514583,
2157.343072982, 0.991615264,
2157.363505046, 0.993258807,
2157.383937009, 0.995241034,
2157.404368872, 0.994163024,
2157.424800935, 0.992385495,
2157.445232897, 0.993000887,
2157.465664759, 0.992640325,
2157.486096820, 0.994388002,
2157.506528781, 0.993956252,
2157.526960642, 0.993147090,
2157.547392702, 0.994524275,
2157.567824662, 0.994455898,
2157.588256621, 0.995821300,
2157.608688580, 0.993742146,
2157.629120538, 0.996863951,
2157.649552496, 0.994786778,
2157.669984453, 0.996049944,
2157.690416410, 0.996218260,
2157.710848367, 0.992904138,
2157.731280322, 0.992253261,
2157.751712278, 0.992769338,
2157.813008143, 0.995068324,
2157.833440197, 0.995328546,
2157.853872050, 0.994595801,
2157.874304003, 0.996435253,
2157.894736056, 0.995310509,
2157.915167908, 0.994263967,
2157.935599859, 0.994056786,
2157.956031911, 0.992915061,
2157.976463762, 0.994638593,
2157.996895712, 0.996796571,
2158.017327762, 0.993775556,
2158.037759612, 0.994636561,
2158.058191561, 0.995357685,
2158.078623610, 0.995997074,
2158.099055558, 0.994108049,
2158.119487406, 0.993390522,
2158.139919453, 0.995204041,
2158.160351400, 0.994582788,
2158.180783247, 0.994718304,
2158.201215293, 0.996333993,
2158.221647238, 0.996244064,
2158.242079084, 0.992489645,
2158.262511128, 0.996193952,
2158.282943073, 0.996276032,
2158.323806960, 1.004446941,
2158.344238903, 0.994859174,
2158.364670945, 0.994323009,
2158.385102788, 0.996408925,
2158.405534729, 0.996693182,
2158.425966771, 0.995552656,
2158.446398612, 0.993769657,
2158.466830552, 0.994909980,
2158.487262592, 0.994777410,
2158.507694432, 0.996976008,
2158.528126371, 0.995991866,
2158.548558310, 0.995330595,
2158.568990248, 0.992404067,
2158.589422186, 0.996093991,
2158.609854223, 0.995065939,
2158.630286060, 0.995743701,
2158.650717997, 0.997064949,
2158.671150033, 0.995462789,
2158.691581869, 0.995185194,
2158.712013804, 0.996392260,
2158.732445839, 0.994334756,
2158.773309607, 0.994719907,
2158.793741641, 0.993417627,
2158.814173474, 0.995933969,
2158.834605407, 0.995782029,
2158.855037439, 0.996405005,
2158.875469271, 0.996943590,
2158.895901303, 0.994330718,
2158.916333233, 0.996301012,
2158.936765164, 0.996767201,
2158.957197094, 0.994842312,
2158.977629024, 0.994242957,
2158.998060953, 0.995479669,
2159.018492882, 0.996687889,
2159.038924811, 0.993711047,
2159.059356739, 0.994085686,
